date,closelast,volume,open,high,low
7/31/25,$207.57,80698430,$208.49,$209.84,$207.16
7/30/25,$209.05,45512510,$211.90,$212.39,$207.72
7/29/25,$211.27,51411720,$214.18,$214.81,$210.82
7/28/25,$214.05,37858020,$214.03,$214.85,$213.06
7/25/25,$213.88,40268780,$214.70,$215.24,$213.40
7/24/25,$213.76,46022620,$213.90,$215.69,$213.53
7/23/25,$214.15,46989300,$215.00,$215.15,$212.41
7/22/25,$214.40,46404070,$213.14,$214.95,$212.23
7/21/25,$212.48,51377430,$212.10,$215.78,$211.63
7/18/25,$211.18,48974590,$210.87,$211.79,$209.70
7/17/25,$210.02,48068140,$210.57,$211.80,$209.59
7/16/25,$210.16,47490530,$210.30,$212.40,$208.64
7/15/25,$209.11,42296340,$209.22,$211.89,$208.92
7/14/25,$208.62,38840110,$209.93,$210.91,$207.54
7/11/25,$211.16,39765810,$210.57,$212.13,$209.86
7/10/25,$212.41,44443640,$210.51,$213.48,$210.03
7/9/25,$211.14,48749370,$209.53,$211.33,$207.22
7/8/25,$210.01,42848930,$210.10,$211.43,$208.45
7/7/25,$209.95,50228980,$212.68,$216.23,$208.80
7/3/25,$213.55,34955840,$212.15,$214.65,$211.81
7/2/25,$212.44,67941810,$208.91,$213.34,$208.14
7/1/25,$207.82,78788870,$206.67,$210.19,$206.14
