date,closelast,volume,open,high,low
2025-07-31,$68.08,18529230,$68.31,$69.15,$67.88
2025-07-30,$68.28,15518180,$67.84,$68.58,$67.35
2025-07-29,$67.96,15261760,$68.23,$68.73,$67.83
2025-07-28,$67.92,20558380,$67.75,$67.96,$67.37
2025-07-25,$68.69,11590040,$68.38,$68.82,$68.07
2025-07-24,$68.29,13534010,$68.36,$68.59,$67.92
2025-07-23,$68.62,13042260,$68.35,$68.83,$68.06
2025-07-22,$68.16,14527150,$68.34,$68.60,$68.08
2025-07-21,$68.34,14674210,$67.90,$68.62,$67.79
2025-07-18,$68.05,16145080,$68.78,$68.84,$67.96
2025-07-17,$68.30,20400010,$67.55,$68.47,$67.51
2025-07-16,$67.37,15156130,$67.15,$67.56,$66.98
2025-07-15,$67.18,13944580,$67.68,$67.88,$67.15
2025-07-14,$67.82,16451390,$67.83,$68.03,$67.20
2025-07-11,$67.95,14699410,$68.29,$68.50,$67.69
2025-07-10,$68.76,15006060,$69.26,$69.39,$68.56
2025-07-09,$69.27,23765950,$68.54,$69.32,$68.31
2025-07-08,$68.59,21182570,$68.80,$68.92,$68.35
2025-07-07,$68.93,23985160,$69.08,$69.30,$68.61
2025-07-03,$69.37,17973500,$68.18,$69.47,$68.18
2025-07-02,$68.59,16655190,$68.68,$68.94,$68.18
2025-07-01,$69.10,21939470,$69.38,$69.55,$68.64
