Date,Close/Last,Volume,Open,High,Low
7/31/25,$68.08 ,18529230,$68.31 ,$69.15 ,$67.88 
7/30/25,$68.28 ,15518180,$67.84 ,$68.58 ,$67.35 
7/29/25,$67.96 ,15261760,$68.23 ,$68.73 ,$67.83 
7/28/25,$67.92 ,20558380,$67.75 ,$67.96 ,$67.37 
7/25/25,$68.69 ,11590040,$68.38 ,$68.82 ,$68.07 
7/24/25,$68.29 ,13534010,$68.36 ,$68.59 ,$67.92 
7/23/25,$68.62 ,13042260,$68.35 ,$68.83 ,$68.06 
7/22/25,$68.16 ,14527150,$68.34 ,$68.60 ,$68.08 
7/21/25,$68.34 ,14674210,$67.90 ,$68.62 ,$67.79 
7/18/25,$68.05 ,16145080,$68.78 ,$68.84 ,$67.96 
7/17/25,$68.30 ,20400010,$67.55 ,$68.47 ,$67.51 
7/16/25,$67.37 ,15156130,$67.15 ,$67.56 ,$66.98 
7/15/25,$67.18 ,13944580,$67.68 ,$67.88 ,$67.15 
7/14/25,$67.82 ,16451390,$67.83 ,$68.03 ,$67.20 
7/11/25,$67.95 ,14699410,$68.29 ,$68.50 ,$67.69 
7/10/25,$68.76 ,15006060,$69.26 ,$69.39 ,$68.56 
7/9/25,$69.27 ,23765950,$68.54 ,$69.32 ,$68.31 
7/8/25,$68.59 ,21182570,$68.80 ,$68.92 ,$68.35 
7/7/25,$68.93 ,23985160,$69.08 ,$69.30 ,$68.61 
7/3/25,$69.37 ,17973500,$68.18 ,$69.47 ,$68.18 
7/2/25,$68.59 ,16655190,$68.68 ,$68.94 ,$68.18 
7/1/25,$69.10 ,21939470,$69.38 ,$69.55 ,$68.64 
